ASV_ID	Mean.blank	All.groups	Group1	taxonomy
19293473bc91214ef889eef23462cde6	7.88969647921351	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Thiomicrospirales; D_4__Thioglobaceae; D_5__SUP05 cluster
1a43a43a407039157e0eedd0b0f1edfe	8.38280250916436	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Methyloligellaceae; D_5__Methyloceanibacter
1ad1b418e7defebcd5e66010e1724627	37.6531361804456	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria
1b16ef9f57883694692a65580a52f2c9	8.8759085391152	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Flammeovirgaceae; D_5__uncultured; D_6__uncultured bacterium
1b1cc07c10f908d0b97142b8445a9469	43.3402889219753	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Firmicutes; D_2__Clostridia; D_3__Clostridiales; D_4__Family XI; D_5__Finegoldia
1b7cd670cc8f5e8f60b5cda5bfb2536d	50.2406582172671	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Actinobacteria; D_2__Actinobacteria; D_3__Corynebacteriales; D_4__Corynebacteriaceae; D_5__Corynebacterium 1
1babd77868d339bb3cc6dc283d25a6dc	4.33933306356743	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Saprospiraceae; D_5__Aureispira; D_6__uncultured bacterium
1bdce400ee0ea55ee84e3e3d4e9ea0e3	15.3331878974776	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Betaproteobacteriales; D_4__Burkholderiaceae; D_5__Pelomonas
1c2b311711be1f9b24b51a67c0d502e2	8.77728733312503	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae; D_5__Silicimonas
1c30a3f0a668e9e02b5cba1e1fd79b0f	2.76139376772473	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Chitinophagales; D_4__Saprospiraceae; D_5__uncultured
2018d5d55a27bbd723571a05eaeedf34	2.46553014975422	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae
20efb4604514932feea1ba80dfc0be52	7.2979692432725	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhodobacterales; D_4__Rhodobacteraceae
2171bc290cfc80a5b70d13f1ccbbd82d	0.88759085391152	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Steroidobacterales; D_4__Woeseiaceae; D_5__Woeseia; D_6__uncultured marine bacterium
2187585a5869b2cb57a35ba4f710a229	0.197242411980338	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Bacteroidetes; D_2__Bacteroidia; D_3__Cytophagales; D_4__Cyclobacteriaceae; D_5__uncultured; D_6__uncultured marine bacterium
23150fd4ca3cbb4a428b17060e3e7cad	58.270406119867	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Alphaproteobacteria; D_3__Rhizobiales; D_4__Rhizobiaceae; D_5__Mesorhizobium
2374a3b070fe98fb1d79709bc3b95f6a	18.6813760483959	Totally.removed	Totally.removed	D_0__Bacteria; D_1__Proteobacteria; D_2__Gammaproteobacteria; D_3__Beggiatoales; D_4__Beggiatoaceae; D_5__uncultured; Ambiguous_taxa
