id	log	W
005080d8bf23384e808ae52c055bb685	0.9999999999999997	5
00adabde8bf4487a2505f456659e331b	1.0	15
00c98c7b822fa991bb286b98e45ccede	2.5179669790026566	2
00d25ec32ae755e789c4b253afe2383f	1.0000000000000002	13
01778ee9bb6f6dfbd0d6f99b9c643964	0.9999999999999996	14
01affb7d5d8cc9982008d417c180d5fb	0.6677987013355685	13
01cad21908250d03badf8540f7a6322d	2.640427006725545	10
01d66d587428dcfa23c81e5e49802839	1.0	13
01e492c06fd1f0ca9ad9dd003c4862db	1.0000000000000007	13
01fbc00bf63ed5b1b57ae2ab356cb682	1.0000000000000007	7
022f0920c2d047e982d523e8d5622d37	1.0	14
023fb33757e63c04023a3b475fa3eca2	2.6609347583981617	6
02c2817ca07f45ddd39bf4bab193e08d	0.669514123797255	7
03780a1d3a3f9a35371920f260df79e8	1.0	11
0397ea3c7705d90540bd78452a77cca5	0.9999999999999993	9
043ac3abe9141d5902f37ef071703ed5	1.4406490220524881	9
04566edfd98bea6178711c41e2270b1a	2.666666666666666	12
0481ce56e5554f57655ebac59c6fc963	1.0000000000000002	4
04a284da089bb36aef2f63f916f55b3e	1.0000000000000002	5
04cc82fb9ccca56769165aec97546ade	0.9999999999999998	11
054bd6bcac5fa4c50e1cbe481f779554	15.158074941232746	35
058d52c0fbbf7d784990dffde99ef903	1.0	14
05a37800a339203bec658cecf85a0924	0.9999999999999994	12
05c690d8a11e7907c40c594f52f7443d	1.0000000000000002	13
061a02aba647b9cccf87aa322ce8dc19	0.9999999999999997	11
065e0b8f84b3da859bb4aa351151f2ce	0.9999999999999996	4
06b84b76e2f15033eeae46ba0800ae14	0.9999999999999991	13
06ce41b0d7af57ba34b0932235589179	1.2153221184091896	3
06fa4558b991f78bc61efc4a6f5a99f3	1.0	5
0741bdcadda5a59c0c6f835f71912fd6	0.7678940275205376	6
0753632fe90b4b7b4598c2604413d2e7	1.0000000000000004	15
075cb6bfd3fa34c71e269c3b2fa8b8b5	5.104581226412137	14
07756b9053d270a0867e46bab4e60296	2.4451467184703994	5
07848a7505c348b0c54b223111e1af2c	0.9999999999999994	7
0788339bdf40270618191479f1b734a5	2.6609488994278916	10
07b0f4c8cd8900ab484daba1bbed5d72	5.968609935594831	4
07b99fe1dc498fdca6ea3471af696128	0.6666666666666666	9
07c492cb12db38074dd24d7716c39771	0.9999999999999992	3
07f1659e2edfd3a78cb0190d576408ea	14.641413239775622	83
0807b80e93c1e31361f6c69e9569a10c	0.9999999999999997	13
0833ec349f7ebd01be1bf5ca03f9bd4b	5.811221473932261	16
0848d1b85898fe7a49b09fd6b550865c	1.637740925537804	4
08d919a1c20bcc0210132a301e5edfed	1.0	11
09310c3ee09f1adf003a249a7e450640	1.0000000000000002	9
095a3b03659be2bf6996c53eb734954b	0.9999999999999987	11
096ce040bfffda55a6a5351d40d61b7d	5.636891989641697	14
0978616ebe6253d85bb8c58617095947	1.0000000000000004	10
09803edc35ed9af71c23bf2aa9c2b6a2	0.9999999999999997	8
09b749349e09f2bafa2b1486914fe370	0.9999999999999996	10
09c02057c3ddcd10d8d5d27de0300e95	15.457441738581874	38
09d38891639a75eb60eab9f620778bf5	0.682166592782678	10
09f928be13007ab59a0d858894f8ab38	3.2902368718069126	5
0aa55d4dc56d88d335bcf237e26a9a44	0.9999999999999998	7
0b019c6a6b3f3378170501000547cf9e	2.3395574663346563	10
0b65f04ef1c2ece09b80c4f2934df7e1	0.44787762508237067	6
0d3493283a080c2014beca547065f063	1.0000000000000002	10
0d95523e28ecedd59a4eaa5e04ec8f5c	3.4133241893752206	2
0dce0c23e861d0b911d8b1d62eced37f	0.9999999999999991	9
0e543c87e84b8b884223be6df520af78	0.9999999999999996	13
0e8aa77ce1ae88cdda8e1f29073f3153	1.0	11
0e9a895c2a4ba3b6d26fe89ee422b907	3.2385962655855196	4
0f0f775bc0f68341ab43749446ba0088	0.9999999999999993	8
0f253128a0005e7e215630539b49801b	0.9999999999999998	12
0f2f46d217fc781aabd6d09010b6ba6a	0.9999999999999996	17
0f4038256bea88599ab3066f54da19f1	1.0000000000000004	9
0f473f45a4f56033121ae41a333c742d	2.407626052266639	10
0f5ce5351a594a67a128dd988e07545b	1.0000000000000009	12
0f66f0d800a9749bc49b820c29d6a37d	1.0000000000000004	15
0f87004cb18cb29f43bd061fbe0b0ecf	1.0	11
0fad81ddd63db6b70f41e249c1beb28b	2.6666666666666683	10
0fff31ee36c4a21e7f9ecc32321cd496	2.6410980762310388	12
106aa91901454fad9ff7cbefbb322ffa	1.0000000000000007	14
1070bb56700285e4138190d42205e62c	0.9999999999999994	17
107188f2f423e4d911807fa7910822db	3.946637244110878	2
107d73f40ebf83c20fcc489530a1091a	2.5186692705441494	4
109359c63b38e7b9d2ed828218baa576	9.052705625865952	19
113152bbaf5de263e1ca45758c7bd01b	0.9999999999999998	10
1187f591fd963a2432088b09e05fecc8	1.0000000000000002	16
118dea014831b65d21da7045db8df27f	1.0000000000000004	14
11a3457eb3b4d34d7671bf2bb07a90ff	1.0000000000000004	10
123349d0ac5b83cedf5abcb99da61607	2.6543156219320143	10
12b84667397ef907e5b02836960c7da5	0.9999999999999998	3
1317a06a1ae1fad53355cd5f2a940c77	1.0000000000000002	15
