PWY-7328,1044421.8420000001
PWY-3661,1033990.966
PWY-6317,997346.8464
P42-PWY,956188.6343999999
PWY-5505,955281.1348
PWY0-1479,947194.3809000001
HOMOSER-METSYN-PWY,933023.3566999999
PWY-6737,923710.9702999999
GLYCOCAT-PWY,913195.2027000001
PWY0-1296,912336.3698
ARG+POLYAMINE-SYN,867112.9014000001
GLUCOSE1PMETAB-PWY,860988.965
PWY0-1297,850753.9532
PWY-6895,845357.3703000001
PWY-181,845199.4299
PWY-7242,836411.9622000001
PWY0-1533,811154.9498
P164-PWY,803407.4048000001
ANAEROFRUCAT-PWY,801996.5924000001
P101-PWY,794187.8655
P23-PWY,791824.2392000001
PWY-5747,789098.8678
TYRFUMCAT-PWY,771565.5728999999
NADSYN-PWY,754674.6778000001
PWY0-42,723345.0556000001
PWY-4984,713619.2312000002
PWY0-1298,696415.3831999998
PWY-621,686203.7855000001
GALACTUROCAT-PWY,661870.4166
PWY-6545,641204.4058999999
PWY-5651,620005.5585
PWY-6151,604438.5754000001
POLYAMSYN-PWY,576784.0619999999
PWY-5100,517277.3646
PWY-5028,513111.66540000006
PWY-6507,507970.1362
PWY-6892,495173.0682999999
PWY-5741,493157.2152999999
PRPP-PWY,490842.7246999999
PWY-7431,481879.4335
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,467234.3345
PWY-6641,461836.6522
PWY-5676,451121.2151
DENOVOPURINE2-PWY,449896.0102
GLUCUROCAT-PWY,448734.92529999994
PWY-5022,422830.582
POLYAMINSYN3-PWY,415836.8941
PWY-1622,414305.7361
PWY-7007,401857.1517
CRNFORCAT-PWY,398946.1602
PWY-5971,393568.87880000006
PWY-7376,384955.63950000005
PWY-1541,383041.1451000001
PWY-7187,377276.66189999995
P161-PWY,368698.9738
SUCSYN-PWY,352611.45139999996
AST-PWY,347225.49940000003
PWY-5838,345784.8223000001
GALACT-GLUCUROCAT-PWY,342691.7637
PWY-5647,338414.97030000004
PWY-6891,331383.7367
PWY-5654,318959.0006999999
PWY-5897,313984.0787
PWY-5898,313984.0787
PWY-5899,313984.0787
PWY-7332,287821.3256
PWY-7237,276427.69
PWY-6562,272055.82540000003
PWY-6901,261451.65949999995
