	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae	16	False
Bacteria;Myxococcota;Polyangia;Polyangiales;BIrii41	16	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae	16	False
Bacteria;Firmicutes;Clostridia;Clostridia_vadinBB60_group;Clostridia_vadinBB60_group	16	False
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22	16	False
Bacteria;Gemmatimonadota;BD2-11_terrestrial_group;BD2-11_terrestrial_group;BD2-11_terrestrial_group	16	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae	16	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae	16	False
Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Phormidiaceae	16	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae	16	False
Bacteria;Cyanobacteria;Cyanobacteriia;Phormidesmiales;Nodosilineaceae	16	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Coriobacteriales_Incertae_Sedis	16	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured	16	False
Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae	16	False
Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;uncultured	15	False
Bacteria;Dependentiae;Babeliae;Babeliales;__	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Reyranellales;Reyranellaceae	15	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured	15	False
Bacteria;Desulfobacterota;Desulfomonilia;Desulfomonilales;Desulfomonilaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;B2M28;B2M28	15	False
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadia;Geopsychrobacteraceae	15	False
Bacteria;Entotheonellaeota;Entotheonellia;Entotheonellales;Entotheonellaceae	15	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae	15	False
Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae	15	False
Bacteria;Firmicutes;Clostridia;Clostridia_UCG-014;Clostridia_UCG-014	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae	15	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Dongiales;Dongiaceae	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae	15	False
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae	15	False
Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae	15	False
Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;uncultured	15	False
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;KI89A_clade;KI89A_clade	15	False
Bacteria;Actinobacteriota;Actinobacteria;Nitriliruptorales;Nitriliruptoraceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;HOC36	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;MD2904-B13;MD2904-B13	15	False
Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Pseudohongiellaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae	15	False
Bacteria;Actinobacteriota;Actinobacteria;Euzebyales;Euzebyaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;uncultured;uncultured	15	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae	15	False
Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae	15	False
Bacteria;Sva0485;Sva0485;Sva0485;Sva0485	15	False
Bacteria;Acidobacteriota;Subgroup_11;Subgroup_11;Subgroup_11	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;env.OPS_17	15	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9_marine_group	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidetes_VC2.1_Bac22;Bacteroidetes_VC2.1_Bac22	15	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae	15	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;uncultured	15	False
Bacteria;Firmicutes;Clostridia;Clostridia;Hungateiclostridiaceae	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae	14	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;SC-I-84	14	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Shewanellaceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;D90;D90	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Hahellaceae	14	False
Bacteria;Gemmatimonadota;PAUC43f_marine_benthic_group;PAUC43f_marine_benthic_group;PAUC43f_marine_benthic_group	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae	14	False
Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae	14	False
Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;__;__	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;FGL7S;FGL7S	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae	14	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;uncultured	14	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae	14	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae	13	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;CCD24;CCD24	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;Milano-WF1B-44	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;B1-7BS	13	False
Bacteria;__;__;__;__	13	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae	13	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae	13	False
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae	13	False
Bacteria;Actinobacteriota;Actinobacteria;Kineosporiales;Kineosporiaceae	13	False
Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;Fibrobacteraceae	13	False
Bacteria;Desulfobacterota;Desulfuromonadia;Sva1033;Sva1033	13	False
Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadia;Desulfuromonadaceae	13	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae	13	False
Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae	13	False
Bacteria;Actinobacteriota;Coriobacteriia;OPB41;OPB41	13	False
Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes_BD2-2	13	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Microscillaceae	13	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Hymenobacteraceae	13	False
