	W	Reject null hypothesis
Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae	25	False
Bacteria;Bacteroidota;Kapabacteria;Kapabacteriales;Kapabacteriales	25	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae	25	False
Bacteria;Patescibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria	25	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurovaceae	25	False
Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Abawacabacteria;Candidatus_Abawacabacteria	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Spongiibacteraceae	25	False
Bacteria;FW113;FW113;FW113;FW113	25	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae	25	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae	25	False
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae	25	False
Bacteria;Actinobacteriota;__;__;__	24	False
Bacteria;Bacteroidota;Bacteroidia;__;__	24	False
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae	24	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfobulbaceae	24	False
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae	23	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae	23	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae	23	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes_BD2-2	23	False
Bacteria;Proteobacteria;Gammaproteobacteria;Competibacterales;Competibacteraceae	23	False
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f	23	False
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae	23	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured	23	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae	23	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;__	23	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae	23	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae	22	False
Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;Milano-WF1B-44	22	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae	22	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767	22	False
Bacteria;Sva0485;Sva0485;Sva0485;Sva0485	22	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93	22	False
Bacteria;Dependentiae;Babeliae;Babeliales;__	22	False
Bacteria;Dependentiae;Babeliae;Babeliales;Babeliales	22	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae	22	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae	22	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae	22	False
Bacteria;Proteobacteria;Gammaproteobacteria;R7C24;R7C24	22	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae	21	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae	21	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae	21	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae	21	False
Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae	21	False
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae	21	False
