	Observed	Chao1	se.chao1	Shannon	InvSimpson	Pielou
FO182	63	63	0	3.37242281622109	15.6919424943505	0.813978554628927
FO266	249	249.142857142857	0.486914620090455	4.03011900251664	17.2213399700633	0.730431066316656
FO267	251	251	0.0623753737543593	4.19664269999154	22.3824073534534	0.759511074697699
FO269	209	209	0	4.08170573397928	21.2432908318271	0.764030392235024
FO270	189	189	0.0415562911968386	3.17346196437404	9.0912243614358	0.60542066514401
FO300	88	88	0.497150973959713	2.42733322821262	4.90751293321211	0.542137732493888
FO301	146	146	0.166094909692848	3.3489238192181	11.5682740229327	0.671987994523957
FO359	120	120	0.248956154104828	2.20085504749505	3.93878566068641	0.459709418990271
FO360	47	47	0	1.76060252480467	3.52812526121709	0.457281825772781
FO433	78	78	0	1.95865913189618	3.22778547749727	0.449573108925079
FO442	164	164	0	3.69278223514855	15.8371656564142	0.72409391253881
FO443	44	44	0	1.887090978935	4.42591628642034	0.498677698924155
FO444	118	118	0	2.56747382563496	5.30535630381556	0.538177227743813
FO445	89	89.2	0.621091185004011	1.98680329634997	3.85969422562627	0.442629594535084
FO446	155	155	0.166128162297197	2.35274574936626	3.76199116032784	0.466497607245813
FO448	253	253	0.0998021758695691	4.49619192453557	35.3004535994982	0.812556559355726
FO451	97	97	0	2.93489072350422	7.81404492683749	0.641546698205701
FO453	156	156	0.12459871485529	3.6504977920378	10.978439489707	0.722891462013406
FO454	224	224	0.249441340083911	4.24192690741064	29.8102236860862	0.783851505949205
FO455	265	265	0	4.23701495481625	17.1189971110982	0.759358443321645
