	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thiogranum	15	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Tepidibacter	15	False
Bacteria;Patescibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria;Gracilibacteria	15	False
Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Methylophagaceae;uncultured	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Saccharospirillaceae;Reinekea	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;__;__	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Marinomonadaceae;Marinomonas	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Draconibacterium	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	15	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Aquimarina	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;uncultured	15	False
Bacteria;Proteobacteria;Gammaproteobacteria;Milano-WF1B-44;Milano-WF1B-44;Milano-WF1B-44	15	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;[Eubacterium]_brachy_group	15	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;uncultured	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Diplorickettsiales;Diplorickettsiaceae;uncultured	14	False
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oceanirhabdus	14	False
Bacteria;Actinobacteriota;__;__;__;__	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;D90;D90;D90	14	False
Bacteria;Desulfobacterota;Syntrophobacteria;Syntrophobacterales;uncultured;uncultured	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Aurantimonas	14	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculaceae	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;EC3;EC3;EC3	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Maribacter	14	False
Bacteria;Patescibacteria;Gracilibacteria;Candidatus_Abawacabacteria;Candidatus_Abawacabacteria;Candidatus_Abawacabacteria	14	False
Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;uncultured;uncultured	14	False
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma	14	False
Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Candidatus_Bacilloplasma	14	False
Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Nesterenkonia	14	False
Bacteria;Acidobacteriota;Acidobacteriae;PAUC26f;PAUC26f;PAUC26f	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylocaldum	14	False
Bacteria;Acidobacteriota;Subgroup_22;Subgroup_22;Subgroup_22;Subgroup_22	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Thalassospiraceae;Thalassospira	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;uncultured;uncultured	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;MD2904-B13;MD2904-B13;MD2904-B13	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;uncultured	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales;Micavibrionaceae;uncultured	14	False
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;__	14	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Sorangium	14	False
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;__	14	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	14	False
Bacteria;Myxococcota;Polyangia;Polyangiales;Sandaracinaceae;uncultured	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Litoreibacter	14	False
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methyloligellaceae;Methyloceanibacter	14	False
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;Desulforhopalus	14	False
Bacteria;Bdellovibrionota;Oligoflexia;Oligoflexales;uncultured;uncultured	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Salinirepens	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Nitrosomonas	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Halochromatium	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Luteimonas	14	False
Bacteria;Bacteroidota;Bacteroidia;__;__;__	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;OM60(NOR5)_clade	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Halieaceae;Congregibacter	14	False
Bacteria;Proteobacteria;Zetaproteobacteria;Mariprofundales;Mariprofundaceae;Mariprofundus	14	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;uncultured;uncultured	14	False
Bacteria;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Calditrichaceae	14	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Desulfonispora	14	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Fusibacteraceae;Fusibacter	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum	14	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family_XIII_AD3011_group	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudozobellia	14	False
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Hypnocyclicus	14	False
Bacteria;Myxococcota;Polyangia;Nannocystales;Nannocystaceae;uncultured	14	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Halarcobacter	14	False
Bacteria;Dependentiae;Babeliae;Babeliales;Vermiphilaceae;Vermiphilaceae	14	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;SB-5;SB-5	14	False
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter	14	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pricia	14	False
Bacteria;Desulfobacterota;Desulfobacteria;Desulfobacterales;Desulfobacteraceae;Desulfoconvexum	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Sedimenticolaceae;Candidatus_Thiodiazotropha	14	False
Bacteria;Desulfobacterota;Desulfobaccia;Desulfobaccales;Desulfobaccaceae;Desulfobacca	14	False
Bacteria;Desulfobacterota;Desulfarculia;Desulfarculales;Desulfarculaceae;Desulfocarbo	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;__	14	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;uncultured	14	False
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured	14	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Amoebophilaceae;Candidatus_Amoebophilus	14	False
Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;uncultured	14	False
Bacteria;Firmicutes;Clostridia;Monoglobales;Monoglobaceae;Monoglobus	14	False
Bacteria;Myxococcota;Myxococcia;Myxococcales;Myxococcaceae;Corallococcus	13	False
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Peptoclostridium	13	False
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus	13	False
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-005	13	False
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas	13	False
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriae;Acidobacteriae;Paludibaculum	13	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Lutimonas	13	False
Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cytophagaceae;Sporocytophaga	13	False
Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;__	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067	13	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;KD3-93;KD3-93	13	False
Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;AKYH767;AKYH767	13	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Arcticiflavibacter	13	False
Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Cryomorphaceae;Vicingus	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Noviherbaspirillum	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Microbulbiferaceae;Microbulbifer	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;__	13	False
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;uncultured	13	False
Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae_RC9_gut_group	13	False
Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Microbispora	13	False
Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria_Incertae_Sedis;Unknown_Family;Marinicella	13	False
